Category: All categories,,,,,
,,,,,
Month,Hamburger: (United States),Veganism: (Germany),Hamburger: (Germany),Veganism: (United States),Hamburger: (China)
2004-01,15,2,57,12,0
2004-02,12,4,49,10,1
2004-03,15,4,44,9,0
2004-04,12,4,38,10,1
2004-05,13,3,42,8,2
2004-06,13,<1,37,9,1
2004-07,17,2,42,10,1
2004-08,14,6,38,10,1
2004-09,13,6,34,9,1
2004-10,11,3,45,12,1
2004-11,14,2,36,11,1
2004-12,12,3,34,10,1
2005-01,16,5,40,10,1
2005-02,16,4,40,10,1
2005-03,15,2,37,10,1
2005-04,13,2,38,9,1
2005-05,24,4,44,10,0
2005-06,20,3,36,10,1
2005-07,19,5,36,9,1
2005-08,17,4,46,12,0
2005-09,15,3,41,11,1
2005-10,15,4,34,10,<1
2005-11,13,5,42,13,2
2005-12,14,3,33,13,2
2006-01,17,4,40,10,<1
2006-02,15,3,42,11,1
2006-03,16,3,31,11,1
2006-04,16,4,35,12,1
2006-05,18,4,38,10,1
2006-06,20,3,33,11,1
2006-07,18,4,36,10,1
2006-08,17,4,34,10,<1
2006-09,18,3,33,11,1
2006-10,15,3,34,11,1
2006-11,14,3,33,13,1
2006-12,15,4,31,12,1
2007-01,18,3,36,10,1
2007-02,16,4,33,11,<1
2007-03,18,4,29,11,1
2007-04,18,5,35,12,1
2007-05,22,5,32,13,1
2007-06,23,4,35,11,1
2007-07,22,4,34,11,1
2007-08,20,5,32,12,1
2007-09,20,5,32,13,1
2007-10,18,5,33,12,1
2007-11,17,4,31,14,1
2007-12,17,5,30,16,1
2008-01,21,4,40,14,1
2008-02,21,4,37,14,1
2008-03,21,4,32,14,<1
2008-04,23,3,35,13,1
2008-05,27,3,33,13,1
2008-06,26,5,31,14,1
2008-07,29,4,30,14,1
2008-08,24,4,28,13,1
2008-09,21,4,30,12,1
2008-10,22,5,31,14,1
2008-11,21,5,30,17,1
2008-12,20,5,27,15,1
2009-01,25,5,33,14,1
2009-02,25,5,32,13,1
2009-03,26,5,31,14,2
2009-04,28,5,30,14,1
2009-05,30,4,28,13,<1
2009-06,32,4,30,13,1
2009-07,31,5,31,13,1
2009-08,31,6,31,14,1
2009-09,28,4,30,13,1
2009-10,24,5,28,15,1
2009-11,24,5,27,20,1
2009-12,22,5,28,16,1
2010-01,26,5,30,16,<1
2010-02,25,5,31,17,1
2010-03,27,6,28,16,1
2010-04,28,5,29,15,1
2010-05,31,5,27,15,<1
2010-06,33,4,28,15,1
2010-07,33,6,24,16,1
2010-08,32,7,26,15,1
2010-09,29,5,29,15,<1
2010-10,28,6,30,16,1
2010-11,24,6,28,19,1
2010-12,24,7,23,17,1
2011-01,32,10,32,19,1
2011-02,32,9,33,23,2
2011-03,35,10,34,21,1
2011-04,36,9,31,22,1
2011-05,39,11,34,19,1
2011-06,41,9,35,19,2
2011-07,40,12,37,19,1
2011-08,36,11,33,21,2
2011-09,32,11,34,22,<1
2011-10,32,12,31,22,1
2011-11,29,14,32,26,1
2011-12,29,13,27,24,1
2012-01,37,13,36,27,1
2012-02,36,14,33,24,1
2012-03,38,14,34,25,<1
2012-04,37,13,33,25,1
2012-05,44,15,37,25,2
2012-06,42,19,36,25,1
2012-07,44,17,34,25,1
2012-08,39,19,35,24,1
2012-09,37,18,30,25,2
2012-10,32,20,32,24,1
2012-11,28,20,32,26,2
2012-12,28,22,31,26,2
2013-01,35,24,35,29,2
2013-02,36,28,37,29,2
2013-03,37,30,40,30,1
2013-04,42,31,34,26,2
2013-05,45,31,37,26,3
2013-06,46,31,41,26,3
2013-07,47,31,36,26,4
2013-08,44,35,39,26,2
2013-09,40,33,36,25,3
2013-10,35,35,36,26,2
2013-11,33,38,39,31,2
2013-12,32,44,34,29,2
2014-01,40,45,37,31,2
2014-02,39,46,42,29,3
2014-03,41,49,41,30,3
2014-04,41,49,39,27,4
2014-05,48,48,44,26,3
2014-06,49,43,41,26,0
2014-07,52,41,38,27,0
2014-08,46,48,43,25,0
2014-09,42,51,40,24,0
2014-10,38,47,44,25,6
2014-11,35,48,43,27,0
2014-12,33,53,39,26,3
2015-01,43,51,45,27,6
2015-02,42,52,49,26,0
2015-03,42,55,52,26,6
2015-04,44,52,52,25,0
2015-05,54,51,51,26,8
2015-06,52,51,49,28,0
2015-07,53,48,49,30,0
2015-08,51,52,54,30,8
2015-09,46,48,50,30,0
2015-10,42,51,55,30,17
2015-11,37,49,48,36,15
2015-12,37,55,46,35,0
2016-01,49,53,52,39,4
2016-02,45,55,53,40,12
2016-03,48,55,54,40,12
2016-04,53,53,54,41,16
2016-05,58,56,52,44,12
2016-06,56,49,50,43,4
2016-07,60,52,52,43,13
2016-08,51,52,51,40,6
2016-09,48,47,48,37,9
2016-10,45,51,53,43,18
2016-11,42,51,51,59,9
2016-12,42,56,37,74,8
2017-01,51,52,42,46,7
2017-02,51,50,45,44,7
2017-03,50,52,42,44,16
2017-04,55,54,45,44,3
2017-05,60,47,44,43,10
2017-06,60,46,42,48,10
2017-07,68,54,42,76,12
2017-08,56,56,42,74,9
2017-09,52,49,39,62,9
2017-10,50,52,40,61,27
2017-11,47,57,36,69,14
2017-12,46,63,37,69,19
2018-01,54,53,40,71,9
2018-02,53,59,43,65,16
2018-03,55,60,43,65,20
2018-04,58,53,39,61,10
2018-05,66,54,42,58,10
2018-06,70,51,40,62,5
2018-07,74,51,39,61,14
2018-08,63,55,40,59,7
2018-09,58,57,40,56,12
2018-10,54,59,37,57,7
2018-11,47,64,37,65,18
2018-12,50,68,36,61,5
2019-01,62,60,42,63,14
2019-02,59,63,56,60,24
2019-03,61,67,56,59,17
2019-04,69,68,46,59,10
2019-05,78,69,51,54,13
2019-06,75,66,48,61,18
2019-07,77,65,44,60,14
2019-08,76,69,50,60,14
2019-09,64,66,41,57,17
2019-10,59,85,41,62,16
2019-11,55,100,40,79,13
2019-12,51,97,41,75,18
2020-01,64,91,46,75,12
2020-02,62,84,45,71,18
2020-03,54,79,40,54,5
2020-04,65,88,45,55,16
2020-05,74,85,52,58,21
2020-06,71,81,51,59,8
2020-07,70,93,51,62,10
2020-08,64,89,51,63,7
2020-09,77,87,46,58,7
2020-10,60,83,43,55,19
2020-11,51,82,38,59,0
2020-12,57,93,38,61,2
2021-01,64,90,45,61,13
2021-02,64,82,44,61,22
2021-03,64,84,40,57,7
2021-04,67,89,44,56,8
2021-05,73,77,46,57,13
2021-06,70,66,42,54,2
2021-07,72,77,46,55,7
2021-08,64,81,50,55,15
2021-09,60,75,41,52,15
2021-10,47,68,37,44,9
2021-11,45,65,31,48,5
2021-12,46,77,32,45,11
2022-01,52,74,37,44,8
2022-02,50,72,39,40,16
