Number,Gloves,ShrinkWrap,PiecesDelivered,BQ
1,0.256965944272446,0.769230769230769,1,0
2,0.337461300309597,0.565088757396449,0.208027410670582,1
3,0.442724458204334,0.186390532544378,0.892192853646598,0
4,0.591331269349845,0.177514792899408,0.704111600587371,0
5,1,0.763313609467455,0.984214390602055,0
6,0.071207430340557,0.248520710059171,0.834801762114537,0
7,0.591331269349845,0,0.791727851199216,0
8,0.888544891640866,1,0.849363680861478,1
9,0,0.346153846153846,0.699339207048458,0
10,0.34984520123839,0.872781065088757,0.748286833088595,1
11,0.405572755417956,0.778106508875739,0.324155653450807,1
12,0.037151702786378,0.458579881656804,0,1
