Category: All categories,,
,,
Month,Johnson & Johnson: (United States),Merck: (United States)
2004-01,7,6
2004-02,7,7
2004-03,7,6
2004-04,7,6
2004-05,6,6
2004-06,6,6
2004-07,7,7
2004-08,6,6
2004-09,7,8
2004-10,6,9
2004-11,6,8
2004-12,7,6
2005-01,7,6
2005-02,7,7
2005-03,6,6
2005-04,7,7
2005-05,6,6
2005-06,7,6
2005-07,6,6
2005-08,7,7
2005-09,6,6
2005-10,6,6
2005-11,6,7
2005-12,6,5
2006-01,7,5
2006-02,7,5
2006-03,6,5
2006-04,7,5
2006-05,6,5
2006-06,6,5
2006-07,6,5
2006-08,6,5
2006-09,6,5
2006-10,6,6
2006-11,6,5
2006-12,5,4
2007-01,6,5
2007-02,6,5
2007-03,6,5
2007-04,6,5
2007-05,6,4
2007-06,6,4
2007-07,6,4
2007-08,6,4
2007-09,6,4
2007-10,6,5
2007-11,5,5
2007-12,4,4
2008-01,6,4
2008-02,6,4
2008-03,6,4
2008-04,6,5
2008-05,5,4
2008-06,5,4
2008-07,6,4
2008-08,5,3
2008-09,6,3
2008-10,7,4
2008-11,5,3
2008-12,5,3
2009-01,6,3
2009-02,6,4
2009-03,6,5
2009-04,6,4
2009-05,5,3
2009-06,5,3
2009-07,5,3
2009-08,5,3
2009-09,5,3
2009-10,5,4
2009-11,5,4
2009-12,4,3
2010-01,8,3
2010-02,5,4
2010-03,5,3
2010-04,5,3
2010-05,6,3
2010-06,5,3
2010-07,4,3
2010-08,5,3
2010-09,5,3
2010-10,5,3
2010-11,4,3
2010-12,4,2
2011-01,5,3
2011-02,5,3
2011-03,5,3
2011-04,5,3
2011-05,5,3
2011-06,5,3
2011-07,4,3
2011-08,4,3
2011-09,4,3
2011-10,4,3
2011-11,5,3
2011-12,4,2
2012-01,4,2
2012-02,4,2
2012-03,4,2
2012-04,4,2
2012-05,3,2
2012-06,4,2
2012-07,4,2
2012-08,3,2
2012-09,3,2
2012-10,3,2
2012-11,3,2
2012-12,3,2
2013-01,3,2
2013-02,4,2
2013-03,3,2
2013-04,4,2
2013-05,4,2
2013-06,3,2
2013-07,3,2
2013-08,3,2
2013-09,3,2
2013-10,3,3
2013-11,4,2
2013-12,3,2
2014-01,3,2
2014-02,4,2
2014-03,3,2
2014-04,3,2
2014-05,3,2
2014-06,3,2
2014-07,3,2
2014-08,3,2
2014-09,3,2
2014-10,3,2
2014-11,3,2
2014-12,3,2
2015-01,3,2
2015-02,3,2
2015-03,3,2
2015-04,3,2
2015-05,3,2
2015-06,3,2
2015-07,3,2
2015-08,3,2
2015-09,4,2
2015-10,3,2
2015-11,3,2
2015-12,3,2
2016-01,3,2
2016-02,4,2
2016-03,4,2
2016-04,3,2
2016-05,3,2
2016-06,3,2
2016-07,3,2
2016-08,3,2
2016-09,3,2
2016-10,3,2
2016-11,3,2
2016-12,3,2
2017-01,3,2
2017-02,3,2
2017-03,3,2
2017-04,3,2
2017-05,3,2
2017-06,3,2
2017-07,3,2
2017-08,3,3
2017-09,3,2
2017-10,3,2
2017-11,3,2
2017-12,3,1
2018-01,3,2
2018-02,3,2
2018-03,3,2
2018-04,3,2
2018-05,3,2
2018-06,3,2
2018-07,3,2
2018-08,3,2
2018-09,3,2
2018-10,3,2
2018-11,3,2
2018-12,4,2
2019-01,3,2
2019-02,3,2
2019-03,3,2
2019-04,3,2
2019-05,3,2
2019-06,3,2
2019-07,3,2
2019-08,5,2
2019-09,3,2
2019-10,5,2
2019-11,3,2
2019-12,2,2
2020-01,3,2
2020-02,3,2
2020-03,5,2
2020-04,5,2
2020-05,3,2
2020-06,3,2
2020-07,3,2
2020-08,3,2
2020-09,4,2
2020-10,4,2
2020-11,3,2
2020-12,5,2
2021-01,15,2
2021-02,22,2
2021-03,75,3
2021-04,100,2
2021-05,26,2
2021-06,19,2
2021-07,26,2
2021-08,29,2
2021-09,20,2
2021-10,21,7
2021-11,18,3
2021-12,17,2
2022-01,11,2
2022-02,6,2
